,Unnamed: 0,Unnamed: 0.1,category,filename,label,shard_iid,shard_non_iid,shape
18,18,157,Black-grass,train_256x256x3/Black-grass/a1cb5a321.png,0,4,1,"(129, 129, 3)"
19,19,0,Black-grass,train_256x256x3/Black-grass/0050f38b3.png,0,0,1,"(196, 196, 3)"
20,20,165,Black-grass,train_256x256x3/Black-grass/a7d2b005e.png,0,6,1,"(430, 430, 3)"
21,21,124,Black-grass,train_256x256x3/Black-grass/7f84c8699.png,0,0,1,"(800, 800, 3)"
22,22,241,Black-grass,train_256x256x3/Black-grass/eac39cfa8.png,0,7,1,"(900, 900, 3)"
23,23,185,Black-grass,train_256x256x3/Black-grass/b504c071f.png,0,6,1,"(983, 983, 3)"
24,24,2,Black-grass,train_256x256x3/Black-grass/0260cffa8.png,0,0,1,"(886, 886, 3)"
25,25,33,Black-grass,train_256x256x3/Black-grass/20d4fab57.png,0,9,1,"(700, 700, 3)"
26,26,98,Black-grass,train_256x256x3/Black-grass/5e4d1ee0d.png,0,8,1,"(2132, 2840, 3)"
27,27,6,Black-grass,train_256x256x3/Black-grass/082314602.png,0,3,1,"(251, 251, 3)"
28,28,95,Black-grass,train_256x256x3/Black-grass/5d358beb9.png,0,2,1,"(2511, 2512, 3)"
29,29,29,Black-grass,train_256x256x3/Black-grass/1af1eddd3.png,0,2,1,"(368, 368, 3)"
30,30,48,Black-grass,train_256x256x3/Black-grass/31958c132.png,0,8,1,"(400, 400, 3)"
31,31,139,Black-grass,train_256x256x3/Black-grass/9052e3e7f.png,0,7,1,"(158, 158, 3)"
32,32,191,Black-grass,train_256x256x3/Black-grass/bab8eb04a.png,0,3,1,"(1122, 1122, 3)"
33,33,97,Black-grass,train_256x256x3/Black-grass/5e21fa6f1.png,0,7,1,"(502, 502, 3)"
34,34,110,Black-grass,train_256x256x3/Black-grass/6e027ec7d.png,0,1,1,"(352, 352, 3)"
35,35,148,Black-grass,train_256x256x3/Black-grass/983663c56.png,0,9,1,"(505, 505, 3)"
36,36,223,Black-grass,train_256x256x3/Black-grass/daa7d4620.png,0,6,1,"(440, 440, 3)"
37,37,136,Black-grass,train_256x256x3/Black-grass/898ecfa78.png,0,8,1,"(274, 274, 3)"
38,38,5,Black-grass,train_256x256x3/Black-grass/078eae073.png,0,4,1,"(1074, 1074, 3)"
39,39,73,Black-grass,train_256x256x3/Black-grass/470608aba.png,0,6,1,"(171, 171, 3)"
40,40,159,Black-grass,train_256x256x3/Black-grass/a26cb8017.png,0,4,1,"(625, 625, 3)"
41,41,14,Black-grass,train_256x256x3/Black-grass/0d28c429b.png,0,7,1,"(586, 586, 3)"
42,42,104,Black-grass,train_256x256x3/Black-grass/686132594.png,0,1,1,"(766, 766, 3)"
43,43,106,Black-grass,train_256x256x3/Black-grass/6a19547c5.png,0,6,1,"(614, 615, 3)"
44,44,121,Black-grass,train_256x256x3/Black-grass/7b72b398d.png,0,5,1,"(315, 315, 3)"
45,45,164,Black-grass,train_256x256x3/Black-grass/a6f939a8b.png,0,4,1,"(89, 89, 3)"
46,46,258,Black-grass,train_256x256x3/Black-grass/f84089a55.png,0,3,1,"(1816, 1816, 3)"
47,47,58,Black-grass,train_256x256x3/Black-grass/3b7d1fe82.png,0,9,1,"(195, 195, 3)"
48,48,99,Black-grass,train_256x256x3/Black-grass/5e65dbdd7.png,0,7,1,"(388, 388, 3)"
49,49,32,Black-grass,train_256x256x3/Black-grass/20b2cbaed.png,0,0,1,"(521, 521, 3)"
50,50,158,Black-grass,train_256x256x3/Black-grass/a20b64ac6.png,0,4,1,"(981, 981, 3)"
51,51,166,Black-grass,train_256x256x3/Black-grass/a87fd277c.png,0,9,1,"(545, 545, 3)"
52,52,60,Black-grass,train_256x256x3/Black-grass/3de7650a2.png,0,6,1,"(680, 680, 3)"
53,53,259,Black-grass,train_256x256x3/Black-grass/fab809601.png,0,1,1,"(91, 91, 3)"
54,54,91,Black-grass,train_256x256x3/Black-grass/595e77ddf.png,0,3,1,"(163, 163, 3)"
55,55,170,Black-grass,train_256x256x3/Black-grass/aa5bb06a1.png,0,6,1,"(1328, 1328, 3)"
56,56,187,Black-grass,train_256x256x3/Black-grass/b790f7be5.png,0,8,1,"(638, 638, 3)"
57,57,49,Black-grass,train_256x256x3/Black-grass/31f2766cb.png,0,4,1,"(170, 170, 3)"
58,58,242,Black-grass,train_256x256x3/Black-grass/ebd2350df.png,0,5,1,"(700, 700, 3)"
59,59,146,Black-grass,train_256x256x3/Black-grass/963dbc831.png,0,2,1,"(292, 292, 3)"
60,60,43,Black-grass,train_256x256x3/Black-grass/2ed589264.png,0,6,1,"(170, 170, 3)"
61,61,190,Black-grass,train_256x256x3/Black-grass/b9e36fa79.png,0,4,1,"(97, 97, 3)"
62,62,7,Black-grass,train_256x256x3/Black-grass/0ace21089.png,0,8,1,"(1899, 1900, 3)"
63,63,250,Black-grass,train_256x256x3/Black-grass/f20bf670a.png,0,1,1,"(372, 372, 3)"
64,64,94,Black-grass,train_256x256x3/Black-grass/5c405ae2d.png,0,2,1,"(151, 151, 3)"
65,65,82,Black-grass,train_256x256x3/Black-grass/4f0dcbcc3.png,0,1,1,"(690, 690, 3)"
66,66,229,Black-grass,train_256x256x3/Black-grass/df2e6e002.png,0,2,1,"(677, 677, 3)"
67,67,205,Black-grass,train_256x256x3/Black-grass/c999c3095.png,0,8,1,"(96, 96, 3)"
68,68,27,Black-grass,train_256x256x3/Black-grass/173cec485.png,0,6,1,"(110, 110, 3)"
69,69,219,Black-grass,train_256x256x3/Black-grass/d622ca3d2.png,0,3,1,"(530, 530, 3)"
70,70,203,Black-grass,train_256x256x3/Black-grass/c66bab8b6.png,0,2,1,"(175, 175, 3)"
71,71,141,Black-grass,train_256x256x3/Black-grass/91a175741.png,0,1,1,"(138, 138, 3)"
72,72,78,Black-grass,train_256x256x3/Black-grass/4a7e7eba8.png,0,5,1,"(884, 884, 3)"
73,73,38,Black-grass,train_256x256x3/Black-grass/260c4eed3.png,0,2,1,"(93, 93, 3)"
74,74,220,Black-grass,train_256x256x3/Black-grass/d8afd58f3.png,0,1,1,"(906, 906, 3)"
75,75,114,Black-grass,train_256x256x3/Black-grass/71f6e3227.png,0,5,1,"(665, 665, 3)"
76,76,154,Black-grass,train_256x256x3/Black-grass/a0405de4d.png,0,3,1,"(1088, 1088, 3)"
77,77,216,Black-grass,train_256x256x3/Black-grass/d3ff1a639.png,0,9,1,"(1311, 1311, 3)"
78,78,55,Black-grass,train_256x256x3/Black-grass/39e9bf4c7.png,0,3,1,"(524, 524, 3)"
79,79,149,Black-grass,train_256x256x3/Black-grass/9959fb099.png,0,8,1,"(372, 372, 3)"
80,80,249,Black-grass,train_256x256x3/Black-grass/f0a7c51a2.png,0,5,1,"(879, 879, 3)"
81,81,202,Black-grass,train_256x256x3/Black-grass/c3b38d028.png,0,8,1,"(1074, 1074, 3)"
82,82,234,Black-grass,train_256x256x3/Black-grass/e5a6e8ebc.png,0,9,1,"(601, 601, 3)"
83,83,61,Black-grass,train_256x256x3/Black-grass/3e9ef1999.png,0,6,1,"(595, 595, 3)"
84,84,175,Black-grass,train_256x256x3/Black-grass/ac56bd408.png,0,8,1,"(180, 180, 3)"
85,85,208,Black-grass,train_256x256x3/Black-grass/cc90c662f.png,0,1,1,"(128, 128, 3)"
86,86,256,Black-grass,train_256x256x3/Black-grass/f7f671785.png,0,5,1,"(772, 772, 3)"
87,87,54,Black-grass,train_256x256x3/Black-grass/37d85d833.png,0,1,1,"(372, 372, 3)"
88,88,11,Black-grass,train_256x256x3/Black-grass/0be707615.png,0,7,1,"(531, 531, 3)"
89,89,3,Black-grass,train_256x256x3/Black-grass/05eedce4d.png,0,8,1,"(117, 117, 3)"
90,90,51,Black-grass,train_256x256x3/Black-grass/332f68a21.png,0,4,1,"(940, 940, 3)"
91,91,10,Black-grass,train_256x256x3/Black-grass/0bb75ded8.png,0,9,1,"(1782, 1836, 3)"
92,92,143,Black-grass,train_256x256x3/Black-grass/93f68d1a9.png,0,2,1,"(906, 906, 3)"
93,93,153,Black-grass,train_256x256x3/Black-grass/a03bc7b24.png,0,6,1,"(736, 736, 3)"
94,94,66,Black-grass,train_256x256x3/Black-grass/418808d19.png,0,2,1,"(73, 73, 3)"
95,95,192,Black-grass,train_256x256x3/Black-grass/bac2710a2.png,0,0,1,"(700, 700, 3)"
96,96,65,Black-grass,train_256x256x3/Black-grass/40bf7be90.png,0,4,1,"(193, 193, 3)"
97,97,257,Black-grass,train_256x256x3/Black-grass/f82d13d23.png,0,9,1,"(575, 575, 3)"
98,98,132,Black-grass,train_256x256x3/Black-grass/86dfe670c.png,0,5,1,"(447, 447, 3)"
99,99,103,Black-grass,train_256x256x3/Black-grass/675a6956e.png,0,9,1,"(565, 565, 3)"
100,100,70,Black-grass,train_256x256x3/Black-grass/448a59eac.png,0,7,1,"(372, 372, 3)"
101,101,235,Black-grass,train_256x256x3/Black-grass/e5f50d22a.png,0,0,1,"(145, 145, 3)"
102,102,77,Black-grass,train_256x256x3/Black-grass/4a3b96198.png,0,0,1,"(94, 94, 3)"
103,103,34,Black-grass,train_256x256x3/Black-grass/2269e0a1e.png,0,9,1,"(468, 468, 3)"
104,104,197,Black-grass,train_256x256x3/Black-grass/c0cbaa32c.png,0,6,1,"(1374, 1448, 3)"
105,105,198,Black-grass,train_256x256x3/Black-grass/c11422bb2.png,0,9,1,"(1741, 1742, 3)"
106,106,133,Black-grass,train_256x256x3/Black-grass/87dd8ebac.png,0,1,1,"(402, 402, 3)"
107,107,196,Black-grass,train_256x256x3/Black-grass/c025e2886.png,0,2,1,"(1328, 1328, 3)"
108,108,127,Black-grass,train_256x256x3/Black-grass/807f9b257.png,0,3,1,"(780, 780, 3)"
109,109,105,Black-grass,train_256x256x3/Black-grass/69ad6773e.png,0,9,1,"(88, 88, 3)"
110,110,199,Black-grass,train_256x256x3/Black-grass/c1a625098.png,0,9,1,"(558, 558, 3)"
111,111,45,Black-grass,train_256x256x3/Black-grass/2f0ae1b34.png,0,1,1,"(93, 93, 3)"
112,112,81,Black-grass,train_256x256x3/Black-grass/4e1cb1e27.png,0,0,1,"(1141, 1141, 3)"
113,113,40,Black-grass,train_256x256x3/Black-grass/279ac215b.png,0,0,1,"(288, 288, 3)"
114,114,52,Black-grass,train_256x256x3/Black-grass/34a672a63.png,0,7,1,"(1044, 1044, 3)"
115,115,20,Black-grass,train_256x256x3/Black-grass/129c51855.png,0,2,1,"(711, 711, 3)"
116,116,35,Black-grass,train_256x256x3/Black-grass/228d8ad5c.png,0,3,1,"(641, 641, 3)"
117,117,129,Black-grass,train_256x256x3/Black-grass/840a7ed59.png,0,2,1,"(685, 685, 3)"
118,118,41,Black-grass,train_256x256x3/Black-grass/28a707630.png,0,2,1,"(603, 603, 3)"
119,119,247,Black-grass,train_256x256x3/Black-grass/ed540beb6.png,0,8,1,"(220, 220, 3)"
120,120,230,Black-grass,train_256x256x3/Black-grass/e0380dff9.png,0,4,1,"(188, 188, 3)"
121,121,251,Black-grass,train_256x256x3/Black-grass/f39ddbe0a.png,0,1,1,"(154, 154, 3)"
122,122,225,Black-grass,train_256x256x3/Black-grass/dca86daba.png,0,7,1,"(435, 435, 3)"
123,123,119,Black-grass,train_256x256x3/Black-grass/77629b9e3.png,0,5,1,"(368, 352, 4)"
124,124,117,Black-grass,train_256x256x3/Black-grass/765a69082.png,0,8,1,"(1040, 1040, 3)"
125,125,80,Black-grass,train_256x256x3/Black-grass/4cf922aea.png,0,0,1,"(685, 685, 3)"
126,126,118,Black-grass,train_256x256x3/Black-grass/775735fb9.png,0,5,1,"(531, 531, 3)"
127,127,169,Black-grass,train_256x256x3/Black-grass/a8de8a80a.png,0,9,1,"(363, 363, 3)"
128,128,9,Black-grass,train_256x256x3/Black-grass/0b3e7a7a9.png,0,6,1,"(352, 352, 3)"
129,129,44,Black-grass,train_256x256x3/Black-grass/2ee4dad8c.png,0,4,1,"(135, 135, 3)"
130,130,215,Black-grass,train_256x256x3/Black-grass/d3e69adad.png,0,3,1,"(78, 78, 3)"
131,131,152,Black-grass,train_256x256x3/Black-grass/9e99f6a34.png,0,1,1,"(189, 189, 3)"
132,132,195,Black-grass,train_256x256x3/Black-grass/bf5662989.png,0,3,1,"(1311, 1311, 3)"
133,133,184,Black-grass,train_256x256x3/Black-grass/b4b8b1507.png,0,0,1,"(1130, 1130, 3)"
134,134,76,Black-grass,train_256x256x3/Black-grass/498269666.png,0,4,1,"(137, 137, 3)"
135,135,68,Black-grass,train_256x256x3/Black-grass/429a48df1.png,0,0,1,"(993, 993, 3)"
136,136,233,Black-grass,train_256x256x3/Black-grass/e4af651a3.png,0,5,1,"(1311, 1311, 3)"
137,137,4,Black-grass,train_256x256x3/Black-grass/075d004bc.png,0,5,1,"(471, 471, 3)"
138,138,13,Black-grass,train_256x256x3/Black-grass/0d1a9985f.png,0,2,1,"(354, 354, 3)"
139,139,42,Black-grass,train_256x256x3/Black-grass/2aa60045d.png,0,8,1,"(800, 800, 3)"
140,140,59,Black-grass,train_256x256x3/Black-grass/3dc08a0f7.png,0,8,1,"(641, 641, 3)"
141,141,151,Black-grass,train_256x256x3/Black-grass/9e2bfa93d.png,0,3,1,"(478, 478, 3)"
142,142,260,Black-grass,train_256x256x3/Black-grass/fb487c5a4.png,0,9,1,"(83, 83, 3)"
143,143,50,Black-grass,train_256x256x3/Black-grass/32d97b170.png,0,5,1,"(1149, 1150, 3)"
144,144,75,Black-grass,train_256x256x3/Black-grass/495cebacf.png,0,6,1,"(603, 603, 3)"
145,145,1,Black-grass,train_256x256x3/Black-grass/0183fdf68.png,0,7,1,"(388, 388, 3)"
146,146,130,Black-grass,train_256x256x3/Black-grass/84e43f2ff.png,0,6,1,"(619, 619, 3)"
147,147,72,Black-grass,train_256x256x3/Black-grass/461feacba.png,0,3,1,"(470, 470, 3)"
148,148,147,Black-grass,train_256x256x3/Black-grass/97cbef805.png,0,4,1,"(751, 751, 3)"
149,149,226,Black-grass,train_256x256x3/Black-grass/dcbd3fa08.png,0,1,1,"(115, 115, 3)"
150,150,212,Black-grass,train_256x256x3/Black-grass/d0ad9c78b.png,0,1,1,"(170, 170, 3)"
151,151,206,Black-grass,train_256x256x3/Black-grass/c9f6ffa0c.png,0,9,1,"(711, 711, 3)"
152,152,115,Black-grass,train_256x256x3/Black-grass/72fd52505.png,0,4,1,"(720, 720, 3)"
153,153,253,Black-grass,train_256x256x3/Black-grass/f47390401.png,0,0,1,"(665, 665, 3)"
154,154,172,Black-grass,train_256x256x3/Black-grass/ab787fb46.png,0,1,1,"(790, 790, 3)"
155,155,24,Black-grass,train_256x256x3/Black-grass/163c13912.png,0,7,1,"(511, 511, 3)"
156,156,67,Black-grass,train_256x256x3/Black-grass/42336b187.png,0,9,1,"(156, 156, 3)"
157,157,26,Black-grass,train_256x256x3/Black-grass/16c69a6d8.png,0,3,1,"(143, 143, 3)"
158,158,102,Black-grass,train_256x256x3/Black-grass/6182bd48c.png,0,9,1,"(121, 121, 3)"
159,159,194,Black-grass,train_256x256x3/Black-grass/befaed3e4.png,0,5,1,"(740, 740, 3)"
160,160,210,Black-grass,train_256x256x3/Black-grass/cfbe062b3.png,0,3,1,"(94, 94, 3)"
161,161,144,Black-grass,train_256x256x3/Black-grass/9443199bb.png,0,5,1,"(524, 524, 3)"
162,162,111,Black-grass,train_256x256x3/Black-grass/6e193f1bb.png,0,1,1,"(603, 603, 3)"
163,163,112,Black-grass,train_256x256x3/Black-grass/7050b0b8a.png,0,0,1,"(700, 700, 3)"
164,164,122,Black-grass,train_256x256x3/Black-grass/7e1bf9449.png,0,8,1,"(1328, 1328, 3)"
165,165,19,Black-grass,train_256x256x3/Black-grass/1276dffba.png,0,2,1,"(630, 630, 3)"
166,166,254,Black-grass,train_256x256x3/Black-grass/f4b7ddbce.png,0,0,1,"(1671, 1671, 3)"
167,167,93,Black-grass,train_256x256x3/Black-grass/5a8b75712.png,0,6,1,"(2670, 2670, 3)"
168,168,87,Black-grass,train_256x256x3/Black-grass/54b2dac6e.png,0,4,1,"(780, 780, 3)"
169,169,142,Black-grass,train_256x256x3/Black-grass/92e5fcce4.png,0,9,1,"(163, 163, 3)"
170,170,204,Black-grass,train_256x256x3/Black-grass/c8884407d.png,0,9,1,"(641, 641, 3)"
171,171,135,Black-grass,train_256x256x3/Black-grass/891c720f8.png,0,9,1,"(380, 380, 3)"
172,172,181,Black-grass,train_256x256x3/Black-grass/afaade548.png,0,5,1,"(642, 642, 3)"
173,173,244,Black-grass,train_256x256x3/Black-grass/ed0bc2794.png,0,0,1,"(879, 879, 3)"
174,174,113,Black-grass,train_256x256x3/Black-grass/70bfa70ff.png,0,9,1,"(113, 113, 3)"
175,175,180,Black-grass,train_256x256x3/Black-grass/af3e2c6da.png,0,4,1,"(88, 88, 3)"
176,176,15,Black-grass,train_256x256x3/Black-grass/0d4f74f4a.png,0,3,1,"(1417, 1417, 3)"
177,177,96,Black-grass,train_256x256x3/Black-grass/5db29d0b5.png,0,9,1,"(352, 352, 3)"
178,178,12,Black-grass,train_256x256x3/Black-grass/0c67c3fc3.png,0,8,1,"(1328, 1328, 3)"
179,179,252,Black-grass,train_256x256x3/Black-grass/f423f84da.png,0,7,1,"(749, 749, 3)"
180,180,92,Black-grass,train_256x256x3/Black-grass/5a1295fb4.png,0,3,1,"(352, 352, 3)"
181,181,211,Black-grass,train_256x256x3/Black-grass/d090d6b25.png,0,1,1,"(1109, 1109, 3)"
182,182,71,Black-grass,train_256x256x3/Black-grass/455546801.png,0,3,1,"(900, 900, 3)"
183,183,123,Black-grass,train_256x256x3/Black-grass/7f37cd4e4.png,0,1,1,"(945, 945, 3)"
184,184,217,Black-grass,train_256x256x3/Black-grass/d441eeda3.png,0,4,1,"(1105, 1120, 3)"
185,185,209,Black-grass,train_256x256x3/Black-grass/cd8031a0c.png,0,3,1,"(470, 470, 3)"
186,186,228,Black-grass,train_256x256x3/Black-grass/dde665ea5.png,0,9,1,"(723, 723, 3)"
187,187,246,Black-grass,train_256x256x3/Black-grass/ed4b42936.png,0,0,1,"(351, 351, 3)"
188,188,218,Black-grass,train_256x256x3/Black-grass/d6036a0f4.png,0,0,1,"(534, 534, 3)"
189,189,108,Black-grass,train_256x256x3/Black-grass/6afa7c717.png,0,7,1,"(297, 297, 3)"
190,190,174,Black-grass,train_256x256x3/Black-grass/ac47ebc4d.png,0,4,1,"(178, 178, 3)"
191,191,155,Black-grass,train_256x256x3/Black-grass/a08892355.png,0,0,1,"(167, 167, 3)"
192,192,74,Black-grass,train_256x256x3/Black-grass/48141d6a7.png,0,2,1,"(430, 430, 3)"
193,193,39,Black-grass,train_256x256x3/Black-grass/26103af9c.png,0,6,1,"(1440, 1440, 3)"
194,194,107,Black-grass,train_256x256x3/Black-grass/6aabdeb45.png,0,0,1,"(388, 388, 3)"
195,195,22,Black-grass,train_256x256x3/Black-grass/14719a83e.png,0,5,1,"(2474, 2474, 3)"
196,196,182,Black-grass,train_256x256x3/Black-grass/b024eeb75.png,0,5,1,"(400, 400, 3)"
197,197,84,Black-grass,train_256x256x3/Black-grass/5212d8564.png,0,0,1,"(1435, 1435, 3)"
198,198,134,Black-grass,train_256x256x3/Black-grass/88fceea2f.png,0,1,1,"(471, 471, 3)"
199,199,57,Black-grass,train_256x256x3/Black-grass/3b7266ac3.png,0,6,1,"(1045, 1045, 3)"
200,200,90,Black-grass,train_256x256x3/Black-grass/594485a0c.png,0,6,6,"(720, 720, 3)"
201,201,17,Black-grass,train_256x256x3/Black-grass/0e91f92a1.png,0,0,6,"(961, 961, 3)"
202,202,79,Black-grass,train_256x256x3/Black-grass/4cd2a07dd.png,0,2,6,"(478, 478, 3)"
203,203,236,Black-grass,train_256x256x3/Black-grass/e62aa6d6e.png,0,6,6,"(400, 400, 3)"
204,204,69,Black-grass,train_256x256x3/Black-grass/42af989bc.png,0,6,6,"(780, 780, 3)"
205,205,177,Black-grass,train_256x256x3/Black-grass/ade525bad.png,0,5,6,"(2266, 2267, 3)"
206,206,178,Black-grass,train_256x256x3/Black-grass/ae8f69724.png,0,1,6,"(936, 1040, 4)"
207,207,168,Black-grass,train_256x256x3/Black-grass/a8cdae28a.png,0,4,6,"(861, 861, 3)"
208,208,128,Black-grass,train_256x256x3/Black-grass/82e0d98d2.png,0,9,6,"(109, 109, 3)"
209,209,150,Black-grass,train_256x256x3/Black-grass/9b1c42272.png,0,8,6,"(181, 181, 3)"
210,210,255,Black-grass,train_256x256x3/Black-grass/f5ca3d442.png,0,2,6,"(1005, 1006, 3)"
211,211,63,Black-grass,train_256x256x3/Black-grass/3fb361e79.png,0,1,6,"(1045, 1045, 3)"
212,212,140,Black-grass,train_256x256x3/Black-grass/90ea1e327.png,0,0,6,"(531, 531, 3)"
213,213,520,Charlock,train_256x256x3/Charlock/ae813adcd.png,1,2,6,"(196, 196, 3)"
214,214,444,Charlock,train_256x256x3/Charlock/7d16f8f00.png,1,1,6,"(373, 373, 3)"
215,215,457,Charlock,train_256x256x3/Charlock/85637dbdc.png,1,6,6,"(162, 162, 3)"
216,216,382,Charlock,train_256x256x3/Charlock/5d820b1cb.png,1,0,6,"(420, 420, 3)"
217,217,575,Charlock,train_256x256x3/Charlock/d0641b545.png,1,7,6,"(424, 424, 3)"
218,218,649,Charlock,train_256x256x3/Charlock/fd3e62689.png,1,4,6,"(737, 737, 3)"
219,219,599,Charlock,train_256x256x3/Charlock/ddf0958d2.png,1,0,6,"(155, 155, 3)"
220,220,488,Charlock,train_256x256x3/Charlock/99f80eb00.png,1,1,6,"(345, 345, 3)"
221,221,286,Charlock,train_256x256x3/Charlock/11185184a.png,1,1,6,"(178, 178, 3)"
222,222,358,Charlock,train_256x256x3/Charlock/47c2398c9.png,1,1,6,"(440, 440, 3)"
223,223,447,Charlock,train_256x256x3/Charlock/7f6d9ef11.png,1,6,6,"(385, 385, 3)"
224,224,518,Charlock,train_256x256x3/Charlock/ae5116f62.png,1,4,6,"(533, 533, 3)"
225,225,472,Charlock,train_256x256x3/Charlock/8de73f114.png,1,1,6,"(1126, 1126, 3)"
226,226,301,Charlock,train_256x256x3/Charlock/1876d091f.png,1,3,6,"(492, 492, 3)"
227,227,499,Charlock,train_256x256x3/Charlock/a1f862ba9.png,1,9,6,"(235, 235, 3)"
228,228,281,Charlock,train_256x256x3/Charlock/0f951d51e.png,1,4,6,"(1046, 1046, 3)"
229,229,437,Charlock,train_256x256x3/Charlock/78fc2ef58.png,1,6,6,"(178, 178, 3)"
230,230,553,Charlock,train_256x256x3/Charlock/c397b8d1a.png,1,6,6,"(430, 430, 3)"
231,231,372,Charlock,train_256x256x3/Charlock/55d410aca.png,1,6,6,"(408, 408, 3)"
232,232,416,Charlock,train_256x256x3/Charlock/6e891673a.png,1,9,6,"(469, 469, 3)"
233,233,644,Charlock,train_256x256x3/Charlock/f9a6d5127.png,1,5,6,"(471, 471, 3)"
234,234,621,Charlock,train_256x256x3/Charlock/ec205ced8.png,1,4,6,"(828, 828, 3)"
235,235,539,Charlock,train_256x256x3/Charlock/bdc8e6025.png,1,7,6,"(456, 456, 3)"
236,236,505,Charlock,train_256x256x3/Charlock/a631f152b.png,1,8,6,"(191, 191, 3)"
237,237,485,Charlock,train_256x256x3/Charlock/97907da1a.png,1,8,6,"(354, 354, 3)"
238,238,455,Charlock,train_256x256x3/Charlock/846db9b8a.png,1,5,6,"(967, 967, 3)"
239,239,593,Charlock,train_256x256x3/Charlock/db96c0bab.png,1,5,6,"(131, 131, 3)"
240,240,467,Charlock,train_256x256x3/Charlock/8b3f0fba7.png,1,2,6,"(405, 405, 3)"
241,241,548,Charlock,train_256x256x3/Charlock/c0e365810.png,1,9,6,"(391, 391, 3)"
242,242,421,Charlock,train_256x256x3/Charlock/704e5bf0a.png,1,2,6,"(403, 403, 3)"
243,243,483,Charlock,train_256x256x3/Charlock/95d959662.png,1,7,6,"(516, 516, 3)"
244,244,406,Charlock,train_256x256x3/Charlock/6a3339ef1.png,1,0,6,"(406, 406, 3)"
245,245,619,Charlock,train_256x256x3/Charlock/ead0df392.png,1,5,6,"(221, 221, 3)"
246,246,468,Charlock,train_256x256x3/Charlock/8c9c6b343.png,1,0,6,"(608, 608, 3)"
247,247,359,Charlock,train_256x256x3/Charlock/48ca70ed5.png,1,8,6,"(156, 156, 3)"
248,248,585,Charlock,train_256x256x3/Charlock/d733b32d8.png,1,1,6,"(750, 750, 3)"
249,249,282,Charlock,train_256x256x3/Charlock/0fa930fa9.png,1,6,6,"(1285, 1285, 3)"
250,250,623,Charlock,train_256x256x3/Charlock/ec615729c.png,1,1,6,"(515, 515, 3)"
251,251,500,Charlock,train_256x256x3/Charlock/a30113dfc.png,1,1,6,"(418, 418, 3)"
252,252,426,Charlock,train_256x256x3/Charlock/730875fd4.png,1,4,6,"(157, 157, 3)"
253,253,448,Charlock,train_256x256x3/Charlock/8194b5c6a.png,1,7,6,"(125, 125, 3)"
254,254,612,Charlock,train_256x256x3/Charlock/e6918f541.png,1,2,6,"(296, 296, 3)"
255,255,573,Charlock,train_256x256x3/Charlock/cf04964e6.png,1,0,6,"(721, 721, 3)"
256,256,509,Charlock,train_256x256x3/Charlock/a880d32f3.png,1,3,6,"(352, 352, 3)"
257,257,529,Charlock,train_256x256x3/Charlock/b525a32bc.png,1,0,6,"(155, 155, 3)"
258,258,496,Charlock,train_256x256x3/Charlock/9f24b0c83.png,1,8,6,"(300, 300, 3)"
259,259,556,Charlock,train_256x256x3/Charlock/c5cca5955.png,1,4,6,"(458, 458, 3)"
260,260,376,Charlock,train_256x256x3/Charlock/5841a3656.png,1,1,6,"(163, 163, 3)"
261,261,273,Charlock,train_256x256x3/Charlock/0b3167af8.png,1,6,6,"(856, 856, 3)"
